id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice
me05-001,Tropius,1,Common,2026-07-18T08:02:59.776Z,EUR,895789,0.02,0.02,0.03,0.05,0.05,0.05,,0.03,0.16,0.04,0.04,0.04,2026-07-18T08:02:56.983Z,USD,704758.0,0.01,0.19,27.0,0.09,704758.0,0.02,0.21,5.0,0.09,,,,,
me05-001,Tropius,1,Common,2026-07-19T08:03:04.558Z,EUR,895789,0.02,0.02,0.03,0.05,0.05,0.05,,0.02,0.15,0.04,0.04,0.04,2026-07-19T08:03:02.366Z,USD,704758.0,0.01,0.15,100.0,0.05,704758.0,0.02,0.2,5.0,0.08,,,,,
me05-001,Tropius,1,Common,2026-07-20T08:03:04.265Z,EUR,895789,0.02,0.02,0.03,0.03,0.04,0.04,,0.02,0.13,0.08,0.1,0.1,2026-07-20T08:03:02.229Z,USD,704758.0,0.01,0.15,1.65,0.04,704758.0,0.01,0.2,2.0,0.1,,,,,
me05-002,Grubbin,2,Common,2026-07-18T08:02:59.776Z,EUR,895790,0.09,0.02,0.02,0.02,0.06,0.06,,0.02,0.14,0.1,0.07,0.07,2026-07-18T08:02:56.983Z,USD,704759.0,0.01,0.15,2.04,0.04,704759.0,0.02,0.2,4.0,0.11,,,,,
me05-002,Grubbin,2,Common,2026-07-19T08:03:04.558Z,EUR,895790,0.09,0.02,0.02,0.02,0.06,0.06,,0.02,0.14,0.1,0.07,0.07,2026-07-19T08:03:02.366Z,USD,704759.0,0.01,0.15,100.0,0.04,704759.0,0.01,0.19,4.0,0.1,,,,,
me05-002,Grubbin,2,Common,2026-07-20T08:03:04.811Z,EUR,895790,0.09,0.02,0.02,0.03,0.04,0.04,,0.02,0.12,0.06,0.11,0.1,2026-07-20T08:03:02.229Z,USD,704759.0,0.01,0.15,1.65,0.07,704759.0,0.01,0.18,4.0,0.11,,,,,
me05-003,Fomantis,3,Common,2026-07-18T08:02:59.776Z,EUR,895791,0.02,0.02,0.08,0.02,0.02,0.02,0.05,0.03,0.16,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704760.0,0.01,0.2,100.0,0.07,704760.0,0.01,0.25,4.0,0.18,,,,,
me05-003,Fomantis,3,Common,2026-07-19T08:03:04.558Z,EUR,895791,0.02,0.02,0.07,0.02,0.02,0.02,0.05,0.02,0.16,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704760.0,0.01,0.15,100.0,0.07,704760.0,0.01,0.24,4.0,0.13,,,,,
me05-003,Fomantis,3,Common,2026-07-20T08:03:04.265Z,EUR,895791,0.02,0.02,0.06,0.03,0.04,0.04,0.05,0.02,0.15,0.1,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704760.0,0.01,0.15,100.0,0.07,704760.0,0.01,0.22,4.0,0.13,,,,,
me05-004,Lurantis ex,4,Double rare,2026-07-18T08:02:59.776Z,EUR,895792,0.49,0.1,1.21,0.29,0.36,0.36,,,0.0,,,,2026-07-18T08:02:56.983Z,USD,,,,,,,,,,,704761.0,0.15,0.7,6.0,0.38
me05-004,Lurantis ex,4,Double rare,2026-07-19T08:03:04.558Z,EUR,895792,0.49,0.08,0.96,0.29,0.36,0.36,,,0.0,,,,2026-07-19T08:03:02.366Z,USD,,,,,,,,,,,704761.0,0.15,0.5,6.0,0.37
me05-004,Lurantis ex,4,Double rare,2026-07-20T08:03:04.265Z,EUR,895792,0.49,0.08,0.74,0.4,0.54,0.54,,,0.0,,,,2026-07-20T08:03:02.229Z,USD,,,,,,,,,,,704761.0,0.15,0.52,6.0,0.4
me05-005,Poltchageist,5,Common,2026-07-18T08:02:59.776Z,EUR,895793,0.39,0.02,0.15,0.08,0.25,0.25,,0.03,0.02,0.95,1.3,1.3,2026-07-18T08:02:56.983Z,USD,704762.0,0.01,0.19,2.08,0.08,704762.0,0.08,0.35,2.99,0.28,,,,,
me05-005,Poltchageist,5,Common,2026-07-19T08:03:04.558Z,EUR,895793,0.39,0.02,0.12,0.08,0.25,0.25,,0.02,0.02,0.95,1.3,1.3,2026-07-19T08:03:02.366Z,USD,704762.0,0.01,0.15,100.0,0.1,704762.0,0.05,0.27,3.22,0.19,,,,,
me05-005,Poltchageist,5,Common,2026-07-20T08:03:04.265Z,EUR,895793,0.39,0.02,0.1,0.05,0.09,0.1,,0.02,0.02,0.13,0.2,0.21,2026-07-20T08:03:02.229Z,USD,704762.0,0.01,0.15,2.2,0.08,704762.0,0.04,0.25,3.22,0.19,,,,,
me05-006,Sinistcha,6,Uncommon,2026-07-18T08:02:59.776Z,EUR,895794,0.45,0.02,0.18,0.07,0.44,0.44,,0.03,0.03,1.45,1.45,1.45,2026-07-18T08:02:56.983Z,USD,704763.0,0.02,0.2,1.77,0.09,704763.0,0.08,0.33,4.99,0.28,,,,,
me05-006,Sinistcha,6,Uncommon,2026-07-19T08:03:04.320Z,EUR,895794,0.45,0.02,0.14,0.07,0.44,0.44,,0.02,0.02,1.45,1.45,1.45,2026-07-19T08:03:02.366Z,USD,704763.0,0.01,0.15,100.0,0.1,704763.0,0.08,0.28,100.0,0.22,,,,,
me05-006,Sinistcha,6,Uncommon,2026-07-20T08:03:04.265Z,EUR,895794,0.45,0.02,0.1,0.07,0.12,0.14,,0.02,0.02,0.23,0.23,0.27,2026-07-20T08:03:02.229Z,USD,704763.0,0.01,0.15,2.2,0.09,704763.0,0.08,0.25,4.99,0.23,,,,,
me05-007,Heatran,7,Uncommon,2026-07-18T08:02:59.776Z,EUR,895795,0.02,0.02,0.07,0.04,0.04,0.04,0.05,0.03,0.23,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704764.0,0.02,0.23,4.6,0.08,704764.0,0.03,0.37,25.0,0.23,,,,,
me05-007,Heatran,7,Uncommon,2026-07-19T08:03:04.558Z,EUR,895795,0.02,0.02,0.06,0.04,0.04,0.04,0.05,0.02,0.2,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704764.0,0.01,0.17,100.0,0.05,704764.0,0.03,0.25,25.0,0.12,,,,,
me05-007,Heatran,7,Uncommon,2026-07-20T08:03:04.265Z,EUR,895795,0.02,0.02,0.06,0.04,0.04,0.04,0.05,0.02,0.18,0.1,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704764.0,0.01,0.15,4.6,0.07,704764.0,0.02,0.25,25.0,0.14,,,,,
me05-008,Mega Delphox ex,8,Double rare,2026-07-18T08:02:59.776Z,EUR,895796,1.17,1.0,1.59,1.8,2.0,2.0,,,0.0,,,,2026-07-18T08:02:56.983Z,USD,,,,,,,,,,,704765.0,0.15,0.75,19.99,0.42
me05-008,Mega Delphox ex,8,Double rare,2026-07-19T08:03:04.320Z,EUR,895796,1.17,0.2,1.33,1.8,2.0,2.0,,,0.0,,,,2026-07-19T08:03:02.366Z,USD,,,,,,,,,,,704765.0,0.15,0.65,19.99,0.51
me05-008,Mega Delphox ex,8,Double rare,2026-07-20T08:03:04.265Z,EUR,895796,1.17,0.2,1.06,0.61,0.9,0.95,,,0.0,,,,2026-07-20T08:03:02.229Z,USD,,,,,,,,,,,704765.0,0.15,0.69,19.99,0.63
me05-009,Sizzlipede,9,Common,2026-07-18T08:02:59.776Z,EUR,895797,0.02,0.02,0.05,0.02,0.02,0.02,0.05,0.02,0.23,0.15,0.12,0.12,2026-07-18T08:02:56.983Z,USD,704766.0,0.01,0.15,4.0,0.07,704766.0,0.02,0.2,4.0,0.08,,,,,
me05-009,Sizzlipede,9,Common,2026-07-19T08:03:04.558Z,EUR,895797,0.02,0.02,0.05,0.02,0.02,0.02,0.05,0.02,0.2,0.15,0.12,0.12,2026-07-19T08:03:02.366Z,USD,704766.0,0.01,0.15,100.0,0.04,704766.0,0.01,0.19,4.0,0.06,,,,,
me05-009,Sizzlipede,9,Common,2026-07-20T08:03:04.811Z,EUR,895797,0.02,0.02,0.04,0.02,0.03,0.03,0.05,0.02,0.17,0.07,0.11,0.11,2026-07-20T08:03:02.229Z,USD,704766.0,0.01,0.15,4.0,0.04,704766.0,0.01,0.18,4.0,0.09,,,,,
me05-010,Centiskorch,10,Common,2026-07-18T08:02:59.776Z,EUR,895798,0.02,0.02,0.05,0.04,0.04,0.04,,0.04,0.1,0.15,0.15,0.15,2026-07-18T08:02:56.983Z,USD,704767.0,0.01,0.14,2.03,0.06,704767.0,0.01,0.2,1.71,0.1,,,,,
me05-010,Centiskorch,10,Common,2026-07-19T08:03:04.384Z,EUR,895798,0.02,0.02,0.04,0.04,0.04,0.04,,0.02,0.09,0.15,0.15,0.15,2026-07-19T08:03:02.366Z,USD,704767.0,0.01,0.15,1.65,0.04,704767.0,0.01,0.19,1.65,0.07,,,,,
me05-010,Centiskorch,10,Common,2026-07-20T08:03:04.265Z,EUR,895798,0.02,0.02,0.04,0.03,0.03,0.03,,0.02,0.09,0.1,0.1,0.1,2026-07-20T08:03:02.229Z,USD,704767.0,0.01,0.15,1.65,0.05,704767.0,0.01,0.19,1.65,0.1,,,,,
me05-011,Charcadet,11,Common,2026-07-18T08:02:59.776Z,EUR,895799,0.02,0.02,0.04,0.02,0.02,0.02,0.2,0.02,0.13,0.2,0.2,0.2,2026-07-18T08:02:56.983Z,USD,704768.0,0.01,0.15,2.04,0.07,704768.0,0.01,0.2,25.0,0.14,,,,,
me05-011,Charcadet,11,Common,2026-07-19T08:03:04.384Z,EUR,895799,0.02,0.02,0.04,0.02,0.02,0.02,0.2,0.02,0.1,0.2,0.2,0.2,2026-07-19T08:03:02.366Z,USD,704768.0,0.01,0.15,1.65,0.06,704768.0,0.01,0.2,25.0,0.09,,,,,
me05-011,Charcadet,11,Common,2026-07-20T08:03:04.265Z,EUR,895799,0.02,0.02,0.05,0.07,0.05,0.05,0.2,0.02,0.08,0.08,0.12,0.12,2026-07-20T08:03:02.229Z,USD,704768.0,0.01,0.15,1.65,0.07,704768.0,0.01,0.2,25.0,0.12,,,,,
me05-012,Armarouge,12,Rare,2026-07-18T08:02:59.776Z,EUR,895800,,0.02,0.26,0.05,0.05,0.05,0.05,0.04,0.17,0.03,0.04,0.04,2026-07-18T08:02:56.983Z,USD,,,,,,704769.0,0.09,0.45,50.0,0.37,704769.0,0.03,0.25,2.99,0.13
me05-012,Armarouge,12,Rare,2026-07-19T08:03:04.658Z,EUR,895800,,0.02,0.2,0.05,0.05,0.05,0.05,0.02,0.18,0.03,0.04,0.04,2026-07-19T08:03:02.366Z,USD,,,,,,704769.0,0.08,0.35,50.0,0.26,704769.0,0.02,0.2,2.99,0.08
me05-012,Armarouge,12,Rare,2026-07-20T08:03:04.811Z,EUR,895800,,0.02,0.17,0.1,0.09,0.08,0.05,0.02,0.17,0.13,0.14,0.14,2026-07-20T08:03:02.229Z,USD,,,,,,704769.0,0.08,0.29,3.0,0.26,704769.0,0.01,0.2,1.66,0.11
me05-013,Goldeen,13,Common,2026-07-18T08:02:59.776Z,EUR,895801,0.02,0.02,0.1,0.02,0.02,0.02,,0.05,0.26,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704770.0,0.01,0.16,100.0,0.07,704770.0,0.03,0.22,4.0,0.1,,,,,
me05-013,Goldeen,13,Common,2026-07-19T08:03:04.658Z,EUR,895801,0.02,0.02,0.08,0.02,0.02,0.02,,0.02,0.26,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704770.0,0.01,0.15,100.0,0.06,704770.0,0.03,0.2,100.0,0.08,,,,,
me05-013,Goldeen,13,Common,2026-07-20T08:03:04.811Z,EUR,895801,0.02,0.02,0.07,0.02,0.04,0.04,,0.02,0.23,0.12,0.19,0.19,2026-07-20T08:03:02.229Z,USD,704770.0,0.01,0.15,100.0,0.05,704770.0,0.02,0.2,4.0,0.11,,,,,
me05-014,Seaking,14,Uncommon,2026-07-18T08:02:59.776Z,EUR,895802,,0.02,0.05,0.04,0.04,0.04,0.04,0.04,0.23,0.04,0.04,0.04,2026-07-18T08:02:56.983Z,USD,704771.0,0.01,0.19,4.0,0.08,704771.0,0.01,0.23,4.0,0.12,,,,,
me05-014,Seaking,14,Uncommon,2026-07-19T08:03:04.558Z,EUR,895802,,0.02,0.04,0.04,0.04,0.04,0.04,0.02,0.2,0.04,0.04,0.04,2026-07-19T08:03:02.366Z,USD,704771.0,0.01,0.15,100.0,0.07,704771.0,0.01,0.2,4.0,0.07,,,,,
me05-014,Seaking,14,Uncommon,2026-07-20T08:03:04.265Z,EUR,895802,,0.02,0.03,0.02,0.03,0.03,0.04,0.02,0.17,0.11,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704771.0,0.01,0.15,1.65,0.07,704771.0,0.01,0.2,4.0,0.1,,,,,
me05-015,Wailmer,15,Common,2026-07-18T08:02:59.776Z,EUR,895803,,0.02,0.12,0.05,0.05,0.05,,0.03,0.26,,,,2026-07-18T08:02:56.983Z,USD,704772.0,0.01,0.2,5.0,0.12,704772.0,0.05,0.35,17.0,0.35,,,,,
me05-015,Wailmer,15,Common,2026-07-19T08:03:04.658Z,EUR,895803,,0.02,0.1,0.05,0.05,0.05,,0.02,0.27,,,,2026-07-19T08:03:02.366Z,USD,704772.0,0.02,0.19,100.0,0.09,704772.0,0.04,0.29,17.0,0.23,,,,,
me05-015,Wailmer,15,Common,2026-07-20T08:03:04.265Z,EUR,895803,,0.02,0.08,0.04,0.06,0.06,,0.02,0.19,0.11,0.21,0.21,2026-07-20T08:03:02.229Z,USD,704772.0,0.02,0.18,5.0,0.12,704772.0,0.04,0.27,17.0,0.26,,,,,
me05-016,Wailord ex,16,Double rare,2026-07-18T08:02:59.776Z,EUR,895804,3.36,0.99,1.33,0.49,2.42,2.42,,,0.0,,,,2026-07-18T08:02:56.983Z,USD,,,,,,,,,,,704773.0,0.05,0.7,19.99,0.44
me05-016,Wailord ex,16,Double rare,2026-07-19T08:03:04.384Z,EUR,895804,3.36,0.19,1.12,0.49,2.42,2.42,,,0.0,,,,2026-07-19T08:03:02.366Z,USD,,,,,,,,,,,704773.0,0.2,0.6,19.99,0.48
me05-016,Wailord ex,16,Double rare,2026-07-20T08:03:04.265Z,EUR,895804,3.36,0.19,0.88,0.59,0.89,0.93,,,0.0,,,,2026-07-20T08:03:02.229Z,USD,,,,,,,,,,,704773.0,0.19,0.61,19.99,0.51
me05-017,Relicanth,17,Uncommon,2026-07-18T08:02:59.776Z,EUR,895805,0.14,0.02,0.08,0.02,0.11,0.11,0.05,0.03,0.2,0.95,0.5,0.5,2026-07-18T08:02:56.983Z,USD,704774.0,0.02,0.21,2.07,0.13,704774.0,0.04,0.31,2.99,0.25,,,,,
me05-017,Relicanth,17,Uncommon,2026-07-19T08:03:04.384Z,EUR,895805,0.14,0.02,0.06,0.02,0.11,0.11,0.05,0.02,0.17,0.95,0.5,0.5,2026-07-19T08:03:02.366Z,USD,704774.0,0.01,0.19,100.0,0.09,704774.0,0.05,0.25,100.0,0.12,,,,,
me05-017,Relicanth,17,Uncommon,2026-07-20T08:03:04.811Z,EUR,895805,0.14,0.02,0.05,0.03,0.04,0.05,0.05,0.02,0.14,0.1,0.15,0.15,2026-07-20T08:03:02.229Z,USD,704774.0,0.01,0.17,1.66,0.09,704774.0,0.03,0.25,2.99,0.15,,,,,
me05-018,Popplio,18,Common,2026-07-18T08:02:59.776Z,EUR,895806,0.02,0.02,0.05,0.02,0.02,0.02,,0.04,0.24,0.15,0.15,0.15,2026-07-18T08:02:56.983Z,USD,704775.0,0.01,0.18,4.0,0.07,704775.0,0.01,0.2,6.99,0.13,,,,,
me05-018,Popplio,18,Common,2026-07-19T08:03:04.384Z,EUR,895806,0.02,0.02,0.05,0.02,0.02,0.02,,0.02,0.18,0.15,0.15,0.15,2026-07-19T08:03:02.366Z,USD,704775.0,0.01,0.15,100.0,0.05,704775.0,0.01,0.2,6.99,0.11,,,,,
me05-018,Popplio,18,Common,2026-07-20T08:03:04.265Z,EUR,895806,0.02,0.02,0.05,0.04,0.04,0.04,,0.02,0.15,0.13,0.15,0.15,2026-07-20T08:03:02.229Z,USD,704775.0,0.01,0.15,4.0,0.05,704775.0,0.01,0.2,6.99,0.1,,,,,
me05-019,Brionne,19,Common,2026-07-18T08:02:59.776Z,EUR,895807,0.02,0.02,0.06,0.03,0.03,0.03,,0.03,0.17,,,,2026-07-18T08:02:56.983Z,USD,704776.0,0.01,0.19,5.0,0.07,704776.0,0.04,0.25,5.0,0.12,,,,,
me05-019,Brionne,19,Common,2026-07-19T08:03:04.384Z,EUR,895807,0.02,0.02,0.06,0.03,0.03,0.03,,0.02,0.12,,,,2026-07-19T08:03:02.366Z,USD,704776.0,0.01,0.15,5.0,0.06,704776.0,0.03,0.2,5.0,0.12,,,,,
me05-019,Brionne,19,Common,2026-07-20T08:03:04.265Z,EUR,895807,0.02,0.02,0.05,0.04,0.04,0.04,,0.02,0.08,0.08,0.12,0.12,2026-07-20T08:03:02.229Z,USD,704776.0,0.01,0.15,5.0,0.06,704776.0,0.02,0.2,5.0,0.15,,,,,
me05-020,Primarina,20,Rare,2026-07-18T08:02:59.776Z,EUR,895808,0.08,0.02,0.12,,,,0.28,0.03,0.17,,,,2026-07-18T08:02:56.983Z,USD,,,,,,704777.0,0.05,0.26,6.99,0.16,704777.0,0.03,0.24,3.99,0.15
me05-020,Primarina,20,Rare,2026-07-19T08:03:04.384Z,EUR,895808,0.08,0.02,0.05,,,,0.28,0.03,0.17,,,,2026-07-19T08:03:02.366Z,USD,,,,,,704777.0,0.08,0.25,6.99,0.14,704777.0,0.02,0.2,3.99,0.1
me05-020,Primarina,20,Rare,2026-07-20T08:03:04.811Z,EUR,895808,0.08,0.02,0.03,0.11,0.11,0.11,0.28,0.03,0.15,0.17,0.21,0.21,2026-07-20T08:03:02.229Z,USD,,,,,,704777.0,0.05,0.25,6.99,0.16,704777.0,0.01,0.19,3.99,0.13
me05-021,Finizen,21,Common,2026-07-18T08:02:59.776Z,EUR,895809,0.09,0.02,0.04,0.02,0.06,0.06,,0.05,0.18,,,,2026-07-18T08:02:56.983Z,USD,704778.0,0.01,0.17,2.06,0.06,704778.0,0.03,0.2,4.0,0.13,,,,,
me05-021,Finizen,21,Common,2026-07-19T08:03:04.558Z,EUR,895809,0.09,0.02,0.04,0.02,0.06,0.06,,0.02,0.17,,,,2026-07-19T08:03:02.366Z,USD,704778.0,0.01,0.15,100.0,0.04,704778.0,0.05,0.2,4.0,0.13,,,,,
me05-021,Finizen,21,Common,2026-07-20T08:03:04.265Z,EUR,895809,0.09,0.02,0.03,0.02,0.04,0.04,,0.02,0.13,0.1,0.14,0.14,2026-07-20T08:03:02.229Z,USD,704778.0,0.01,0.15,1.65,0.05,704778.0,0.05,0.2,4.0,0.15,,,,,
me05-022,Palafin,22,Uncommon,2026-07-18T08:02:59.776Z,EUR,895810,0.02,0.02,0.04,0.04,0.06,0.06,0.05,0.02,0.14,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704779.0,0.01,0.19,4.0,0.11,704779.0,0.03,0.2,4.0,0.07,,,,,
me05-022,Palafin,22,Uncommon,2026-07-19T08:03:04.558Z,EUR,895810,0.02,0.02,0.04,0.04,0.06,0.06,0.05,0.02,0.15,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704779.0,0.01,0.15,100.0,0.05,704779.0,0.02,0.2,100.0,0.06,,,,,
me05-022,Palafin,22,Uncommon,2026-07-20T08:03:04.265Z,EUR,895810,0.02,0.02,0.03,0.02,0.04,0.04,0.05,0.02,0.13,0.08,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704779.0,0.01,0.15,4.0,0.06,704779.0,0.02,0.2,4.0,0.07,,,,,
me05-023,Electrike,23,Common,2026-07-18T08:02:59.387Z,EUR,895811,0.02,0.02,0.05,0.04,0.03,0.03,,0.04,0.18,0.02,0.02,0.02,2026-07-18T08:02:56.983Z,USD,704780.0,0.01,0.17,1.69,0.06,704780.0,0.02,0.22,4.0,0.12,,,,,
me05-023,Electrike,23,Common,2026-07-19T08:03:04.558Z,EUR,895811,0.02,0.02,0.05,0.04,0.03,0.03,,0.02,0.15,0.02,0.02,0.02,2026-07-19T08:03:02.366Z,USD,704780.0,0.01,0.15,100.0,0.07,704780.0,0.03,0.2,100.0,0.11,,,,,
me05-023,Electrike,23,Common,2026-07-20T08:03:04.265Z,EUR,895811,0.02,0.02,0.05,0.05,0.05,0.05,,0.02,0.11,0.06,0.11,0.11,2026-07-20T08:03:02.229Z,USD,704780.0,0.01,0.15,1.65,0.07,704780.0,0.03,0.2,1.68,0.12,,,,,
me05-024,Manectric,24,Uncommon,2026-07-18T08:02:59.776Z,EUR,895812,0.02,0.02,0.04,0.03,0.12,0.12,,0.05,0.3,,,,2026-07-18T08:02:56.983Z,USD,704781.0,0.01,0.19,1.69,0.06,704781.0,0.04,0.2,4.0,0.12,,,,,
me05-024,Manectric,24,Uncommon,2026-07-19T08:03:04.558Z,EUR,895812,0.02,0.02,0.03,0.03,0.12,0.12,,0.03,0.22,,,,2026-07-19T08:03:02.366Z,USD,704781.0,0.01,0.15,1.65,0.05,704781.0,0.03,0.2,4.0,0.08,,,,,
me05-024,Manectric,24,Uncommon,2026-07-20T08:03:04.811Z,EUR,895812,0.02,0.02,0.02,0.05,0.05,0.05,,0.03,0.15,0.11,0.18,0.18,2026-07-20T08:03:02.229Z,USD,704781.0,0.01,0.15,1.65,0.06,704781.0,0.03,0.2,4.0,0.11,,,,,
me05-025,Charjabug,25,Common,2026-07-18T08:02:59.776Z,EUR,895813,0.09,0.02,0.02,0.02,0.07,0.07,,0.02,0.16,0.15,0.15,0.15,2026-07-18T08:02:56.983Z,USD,704782.0,0.01,0.15,100.0,0.06,704782.0,0.03,0.2,4.0,0.1,,,,,
me05-025,Charjabug,25,Common,2026-07-19T08:03:04.558Z,EUR,895813,0.09,0.02,0.03,0.02,0.07,0.07,,0.02,0.17,0.15,0.15,0.15,2026-07-19T08:03:02.366Z,USD,704782.0,0.01,0.15,100.0,0.04,704782.0,0.02,0.2,4.0,0.06,,,,,
me05-025,Charjabug,25,Common,2026-07-20T08:03:04.811Z,EUR,895813,0.09,0.02,0.02,0.03,0.04,0.04,,0.02,0.14,0.1,0.14,0.14,2026-07-20T08:03:02.229Z,USD,704782.0,0.01,0.15,100.0,0.07,704782.0,0.01,0.2,4.0,0.06,,,,,
me05-026,Vikavolt,26,Uncommon,2026-07-18T08:02:59.387Z,EUR,895814,0.14,0.02,0.05,0.14,0.14,0.14,,0.04,0.2,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704783.0,0.01,0.25,100.0,0.11,704783.0,0.01,0.2,5.0,0.1,,,,,
me05-026,Vikavolt,26,Uncommon,2026-07-19T08:03:04.658Z,EUR,895814,0.14,0.02,0.04,0.14,0.14,0.14,,0.02,0.2,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704783.0,0.01,0.19,100.0,0.05,704783.0,0.01,0.18,5.0,0.07,,,,,
me05-026,Vikavolt,26,Uncommon,2026-07-20T08:03:04.386Z,EUR,895814,0.14,0.02,0.03,0.03,0.04,0.04,,0.02,0.18,0.14,0.17,0.17,2026-07-20T08:03:02.229Z,USD,704783.0,0.01,0.15,100.0,0.06,704783.0,0.01,0.19,5.0,0.08,,,,,
me05-027,Mega Zeraora ex,27,Double rare,2026-07-18T08:02:59.387Z,EUR,895787,2.59,0.9,1.92,3.39,3.32,3.32,,,0.0,,,,2026-07-18T08:02:56.983Z,USD,,,,,,,,,,,704784.0,0.1,1.01,85.0,0.56
me05-027,Mega Zeraora ex,27,Double rare,2026-07-19T08:03:04.658Z,EUR,895787,2.59,0.35,1.57,3.39,3.32,3.32,,,0.0,,,,2026-07-19T08:03:02.366Z,USD,,,,,,,,,,,704784.0,0.14,0.9,85.0,0.55
me05-027,Mega Zeraora ex,27,Double rare,2026-07-20T08:03:04.265Z,EUR,895787,2.59,0.35,1.18,0.8,1.26,1.34,,,0.0,,,,2026-07-20T08:03:02.229Z,USD,,,,,,,,,,,704784.0,0.2,0.88,85.0,0.59
me05-028,Miraidon,28,Rare,2026-07-18T08:02:59.776Z,EUR,895815,,0.02,0.12,0.04,0.12,0.12,,0.1,0.15,0.95,0.95,0.95,2026-07-18T08:02:56.983Z,USD,,,,,,704785.0,0.09,0.29,3.88,0.21,704785.0,0.01,0.2,2.99,0.11
me05-028,Miraidon,28,Rare,2026-07-19T08:03:04.558Z,EUR,895815,,0.02,0.09,0.04,0.12,0.12,,0.02,0.16,0.95,0.95,0.95,2026-07-19T08:03:02.366Z,USD,,,,,,704785.0,0.09,0.25,3.88,0.21,704785.0,0.01,0.19,2.99,0.08
me05-028,Miraidon,28,Rare,2026-07-20T08:03:04.265Z,EUR,895815,,0.02,0.08,0.09,0.1,0.1,,0.02,0.11,0.18,0.25,0.25,2026-07-20T08:03:02.229Z,USD,,,,,,704785.0,0.09,0.25,1.61,0.22,704785.0,0.01,0.16,1.65,0.11
me05-029,Slowpoke,29,Common,2026-07-18T08:02:59.776Z,EUR,895816,0.09,0.02,0.12,0.47,0.3,0.3,,0.1,0.24,0.5,0.5,0.5,2026-07-18T08:02:56.983Z,USD,704786.0,0.01,0.19,25.0,0.1,704786.0,0.05,0.29,2.0,0.2,,,,,
